,AgeAsOfSale,AgeGarageAsOfSale,Alley,BedroomAbvGr,BldgType,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFullBath,CentralAir,Condition1,ConditionIndex,EnclosedPorch,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageCars,GarageFinish,GarageType,GoodOpenPorch,GoodScreenPorch,GoodWoodDeck,HalfBath,HasAGoodPool,Heating,HouseStyle,KitchenAbvGr,LandContour,LandSlope,LotAreaGood,LotConfig,LotShape,MSSubClass,MSZoning,MasVnrType,MiscFeature,Neighborhood,PavedDrive,QualIndex,RoofStyle,SaleCondition,SalePrice,SoldIn2008,Street,TotRmsAbvGrd,Utilities,YearsSinceRemod
737,1,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,Fin,Attchd,1,0,0,1,0,GasA,2Story,1,HLS,Gtl,2,CulDSac,IR1,60,RL,None,None,Gilbert,Y,90,Gable,Normal,239900.0,0,Pave,8,AllPub,1
738,22,-1987.0,None,3,Duplex,Gd,GLQ,Unf,3.0,Y,Norm,17,0,Plywood,Plywood,None,,0,CBlock,3,Typ,0.0,None,None,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,90,RL,None,None,Edwards,Y,42,Gable,Alloca,179000.0,0,Pave,5,AllPub,21
739,5,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,IR1,60,RL,None,None,CollgCr,Y,75,Gable,Normal,190000.0,0,Pave,7,AllPub,5
740,97,0.0,Grvl,2,1Fam,No,Unf,Unf,0.0,Y,Norm,26,112,Wd Sdng,Wd Shng,GdPrv,,0,BrkTil,2,Typ,2.0,Unf,Detchd,0,0,1,0,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,70,RM,None,None,OldTown,Y,43,Gable,Abnorml,132000.0,0,Pave,7,AllPub,5
741,47,1.0,None,3,1Fam,Mn,GLQ,Unf,1.0,Y,Feedr,24,0,HdBoard,HdBoard,GdPrv,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,IR1,20,RL,None,None,Sawyer,Y,58,Hip,Normal,142000.0,0,Pave,5,AllPub,12
742,7,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,GdPrv,,0,PConc,2,Typ,2.0,Unf,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,SawyerW,Y,71,Gable,Normal,179000.0,0,Pave,6,AllPub,6
743,46,34.0,None,3,1Fam,Av,ALQ,Unf,0.0,Y,Norm,24,0,HdBoard,HdBoard,None,TA,1,CBlock,2,Min2,2.0,RFn,Attchd,0,1,1,0,0,GasA,SLvl,1,Lvl,Gtl,2,Inside,IR1,80,RL,None,None,Sawyer,Y,47,Gable,Normal,175000.0,0,Pave,6,AllPub,10
744,15,0.0,None,2,TwnhsE,No,GLQ,Unf,1.0,Y,Norm,22,70,HdBoard,HdBoard,None,TA,1,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,HLS,Gtl,1,Inside,IR1,120,RL,None,None,StoneBr,Y,90,Gable,Normal,180000.0,0,Pave,5,AllPub,15
745,32,18.0,None,4,1Fam,No,GLQ,ALQ,0.0,Y,Norm,28,0,VinylSd,VinylSd,None,TA,2,CBlock,3,Typ,2.0,Fin,BuiltIn,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,IR1,60,RL,BrkFace,None,NWAmes,Y,90,Hip,Normal,299800.0,0,Pave,11,AllPub,12
746,9,0.0,None,4,1Fam,No,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,2.0,Fin,BuiltIn,1,0,1,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,IR1,60,RL,None,None,Gilbert,Y,75,Gable,Normal,236000.0,0,Pave,8,AllPub,9
747,129,70.0,Pave,4,1Fam,No,Unf,Unf,0.0,N,Norm,18,386,Stucco,Stucco,None,Gd,1,Stone,1,Typ,4.0,Unf,Detchd,0,0,0,1,0,GasW,2Story,1,Lvl,Gtl,2,Corner,IR1,70,RM,None,None,OldTown,N,73,Mansard,Normal,265979.0,0,Pave,8,AllPub,6
748,14,0.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,154,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,2.0,Fin,Attchd,1,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,BrkFace,None,NoRidge,Y,75,Hip,Normal,260400.0,0,Pave,7,AllPub,14
749,64,0.0,None,4,1Fam,None,None,None,0.0,N,Norm,15,185,WdShing,Wd Shng,None,,0,Slab,2,Mod,1.0,Unf,Detchd,0,0,0,0,0,Wall,1.5Fin,1,Lvl,Gtl,1,Inside,Reg,50,RL,None,None,Edwards,N,31,Gable,Normal,98000.0,0,Pave,9,AllPub,59
750,100,-1910.0,Grvl,3,1Fam,No,Unf,Unf,0.0,Y,Norm,15,0,Wd Sdng,Wd Sdng,None,,0,BrkTil,1,Min2,0.0,None,None,1,0,0,0,0,GasA,1.5Fin,1,Lvl,Gtl,1,Corner,Reg,50,RM,None,None,OldTown,N,31,Gable,Normal,96500.0,0,Pave,7,AllPub,6
751,4,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,RRAn,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,None,None,Gilbert,Y,75,Gable,Normal,162000.0,0,Pave,6,AllPub,4
752,9,0.0,None,3,1Fam,Gd,GLQ,Unf,1.0,Y,Norm,26,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,IR1,20,RL,None,None,CollgCr,Y,60,Gable,Normal,217000.0,0,Pave,6,AllPub,9
753,1,0.0,None,3,1Fam,Mn,Unf,Unf,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,Reg,60,RL,BrkFace,None,NridgHt,Y,92,Gable,Normal,275500.0,0,Pave,8,AllPub,1
754,40,0.0,None,3,1Fam,No,GLQ,LwQ,1.0,Y,Norm,22,0,Plywood,Plywood,None,,0,CBlock,1,Typ,2.0,RFn,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,58,Gable,Normal,156000.0,0,Pave,5,AllPub,4
755,10,0.0,Pave,3,TwnhsE,No,GLQ,Unf,0.0,Y,Norm,22,0,MetalSd,MetalSd,None,,0,PConc,2,Typ,2.0,Unf,Detchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,160,FV,BrkFace,None,Somerst,Y,58,Gable,Normal,172500.0,0,Pave,6,AllPub,10
756,2,0.0,None,3,1Fam,Av,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,IR1,60,RL,None,None,CollgCr,Y,90,Gable,Normal,212000.0,0,Pave,7,AllPub,2
757,32,0.0,None,3,1Fam,Mn,Rec,Unf,0.0,Y,Norm,20,0,HdBoard,HdBoard,GdPrv,TA,1,CBlock,2,Typ,2.0,Fin,Attchd,0,0,1,1,0,GasA,2Story,1,Lvl,Gtl,2,CulDSac,IR1,60,RL,BrkCmn,None,Sawyer,Y,56,Hip,Abnorml,158900.0,0,Pave,6,AllPub,32
758,9,0.0,Pave,3,Twnhs,No,ALQ,Unf,0.0,Y,Norm,22,0,MetalSd,MetalSd,None,,0,PConc,2,Typ,2.0,Unf,Detchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,160,FV,BrkFace,None,Somerst,Y,71,Gable,Normal,179400.0,0,Pave,6,AllPub,9
759,12,0.0,None,4,1Fam,Av,LwQ,ALQ,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,3.0,RFn,Attchd,1,0,1,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,IR1,60,RL,BrkFace,None,NoRidge,Y,90,Gable,Normal,290000.0,0,Pave,9,AllPub,12
760,50,49.0,None,2,1Fam,No,Rec,Unf,0.0,Y,Norm,28,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,Shed,NAmes,Y,60,Hip,Normal,127500.0,0,Pave,5,AllPub,50
761,85,41.0,None,2,1Fam,Mn,LwQ,Unf,0.0,Y,Feedr,20,0,Wd Sdng,Wd Sdng,None,,0,PConc,1,Min1,2.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,FR2,Reg,30,RM,None,None,BrkSide,Y,43,Gable,Normal,100000.0,0,Pave,5,AllPub,59
762,1,0.0,None,3,1Fam,Mn,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,Unf,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,FV,None,None,Somerst,Y,73,Gable,Normal,215200.0,0,Pave,7,AllPub,1
763,10,0.0,None,3,1Fam,Mn,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,Attchd,1,1,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,BrkFace,None,NoRidge,Y,90,Gable,Normal,337000.0,0,Pave,8,AllPub,10
764,11,0.0,None,2,TwnhsE,Av,LwQ,GLQ,1.0,Y,Norm,28,0,BrkFace,BrkFace,None,Gd,1,PConc,1,Typ,2.0,Fin,Attchd,0,1,0,1,0,GasA,1Story,1,Lvl,Gtl,1,CulDSac,IR1,120,RL,None,None,Veenker,Y,92,Hip,Normal,270000.0,0,Pave,6,AllPub,10
766,22,0.0,None,3,1Fam,No,GLQ,Unf,0.0,Y,Norm,20,156,HdBoard,HdBoard,MnPrv,TA,1,CBlock,2,Typ,2.0,Unf,Attchd,1,0,1,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,Reg,60,RL,BrkFace,Shed,NWAmes,Y,71,Gable,Normal,196500.0,0,Pave,7,AllPub,22
767,68,49.0,None,4,1Fam,Mn,ALQ,Unf,1.0,Y,Norm,24,156,VinylSd,VinylSd,None,,0,CBlock,2,Mod,1.0,Unf,Attchd,0,0,1,0,0,GasA,1.5Fin,1,Lvl,Gtl,2,Inside,IR1,50,RL,None,Shed,Mitchel,Y,58,Gable,Normal,160000.0,0,Pave,7,AllPub,23
768,2,0.0,None,3,1Fam,No,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,CollgCr,Y,75,Hip,Normal,216837.0,0,Pave,8,AllPub,1
769,7,0.0,None,4,1Fam,Gd,ALQ,Unf,1.0,Y,Norm,24,0,CemntBd,Wd Shng,None,Gd,1,PConc,3,Mod,3.0,Fin,BuiltIn,0,1,1,1,0,GasA,2Story,1,HLS,Mod,4,CulDSac,IR2,60,RL,BrkFace,None,StoneBr,Y,94,Hip,Normal,538000.0,0,Pave,12,AllPub,7
770,27,1.0,None,2,1Fam,Av,GLQ,Unf,1.0,Y,Norm,20,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,SFoyer,1,Lvl,Gtl,1,CulDSac,IR1,85,RL,None,None,Sawyer,Y,47,Hip,Normal,134900.0,0,Pave,5,AllPub,27
771,55,0.0,None,2,1Fam,No,LwQ,Unf,0.0,Y,Norm,18,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,Edwards,Y,34,Gable,Normal,102000.0,0,Pave,6,AllPub,55
772,34,0.0,None,3,1Fam,Av,ALQ,BLQ,1.0,Y,Norm,20,0,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,SLvl,1,Lvl,Gtl,1,Inside,Reg,80,RL,None,None,Edwards,Y,56,Gable,Abnorml,107000.0,0,Pave,6,AllPub,34
773,49,0.0,None,2,1Fam,No,Rec,Unf,0.0,Y,Feedr,24,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,1.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,None,None,NAmes,Y,45,Gable,Normal,114500.0,0,Pave,5,AllPub,49
774,1,0.0,None,3,1Fam,Av,Unf,Unf,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,Fin,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Corner,Reg,20,RL,BrkFace,None,NridgHt,Y,90,Hip,Partial,395000.0,0,Pave,9,AllPub,1
775,11,0.0,None,2,TwnhsE,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,Fin,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,FR2,Reg,120,RM,BrkFace,None,Mitchel,Y,60,Hip,Normal,162000.0,0,Pave,5,AllPub,11
776,1,0.0,None,3,1Fam,Av,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,BrkFace,None,CollgCr,Y,75,Gable,Partial,221500.0,0,Pave,7,AllPub,0
777,32,0.0,None,3,1Fam,No,ALQ,Unf,1.0,Y,Norm,20,0,HdBoard,Plywood,MnPrv,Fa,1,CBlock,1,Typ,2.0,Unf,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,None,None,Sawyer,Y,45,Hip,Normal,142500.0,0,Pave,5,AllPub,32
778,30,0.0,None,4,Duplex,None,None,None,0.0,Y,Feedr,15,0,Plywood,Plywood,None,TA,2,Slab,2,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,2,Lvl,Gtl,1,Inside,Reg,90,RH,BrkFace,None,SawyerW,Y,40,Gable,Normal,144000.0,0,Pave,10,AllPub,30
779,29,0.0,None,2,Duplex,Gd,GLQ,Unf,1.0,Y,Norm,20,0,Plywood,ImStucc,None,,0,CBlock,1,Typ,2.0,Unf,Attchd,0,0,0,0,0,GasA,SFoyer,1,Lvl,Gtl,2,Inside,Reg,90,RL,BrkFace,None,Mitchel,Y,58,Gable,Normal,135000.0,0,Pave,4,AllPub,29
780,12,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,HdBoard,HdBoard,None,TA,1,PConc,2,Typ,2.0,Fin,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,Gilbert,Y,71,Gable,Normal,176000.0,0,Pave,6,AllPub,11
781,14,0.0,None,3,1Fam,No,ALQ,Unf,0.0,Y,Norm,26,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,None,None,SawyerW,Y,62,Gable,Normal,175900.0,0,Pave,7,AllPub,14
782,8,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR2,20,RL,None,None,CollgCr,Y,75,Gable,Normal,187100.0,0,Pave,6,AllPub,7
783,31,0.0,None,1,1Fam,Av,GLQ,Unf,1.0,Y,Norm,26,0,Plywood,Plywood,None,TA,1,PConc,1,Typ,2.0,Fin,Attchd,0,0,1,0,0,GasA,SFoyer,1,Lvl,Gtl,1,Corner,IR1,85,RL,BrkFace,None,Mitchel,Y,49,Gable,Normal,165500.0,0,Pave,4,AllPub,31
784,94,-1914.0,Grvl,3,1Fam,No,Unf,Unf,0.0,Y,Norm,19,134,Wd Sdng,Wd Shng,None,Gd,1,CBlock,2,Typ,0.0,None,None,1,0,0,0,0,GasA,2.5Unf,1,Lvl,Gtl,1,Inside,Reg,75,RM,None,None,OldTown,Y,51,Gable,Normal,128000.0,0,Pave,9,AllPub,7
785,42,0.0,None,3,1Fam,No,Rec,LwQ,0.0,Y,Feedr,20,0,BrkFace,Wd Sdng,None,Gd,1,CBlock,2,Typ,2.0,Unf,Attchd,0,1,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NWAmes,Y,56,Gable,Normal,161500.0,0,Pave,7,AllPub,42
786,95,46.0,None,4,1Fam,No,LwQ,Unf,1.0,Y,Artery,22,196,MetalSd,MetalSd,None,,0,PConc,2,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1.5Fin,1,Lvl,Gtl,2,Inside,Reg,50,RM,None,Shed,OldTown,Y,43,Gable,Normal,139000.0,0,Pave,7,AllPub,60
787,6,0.0,None,4,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,BuiltIn,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,IR1,60,RL,None,None,SawyerW,Y,75,Gable,Normal,233000.0,0,Pave,8,AllPub,6
788,54,0.0,None,2,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,MetalSd,MetalSd,None,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Corner,Reg,20,RM,None,None,OldTown,Y,34,Gable,Normal,107900.0,0,Pave,4,AllPub,8
789,41,0.0,None,5,1Fam,Gd,LwQ,Unf,0.0,Y,Norm,20,0,HdBoard,HdBoard,None,,0,CBlock,2,Typ,2.0,Fin,Attchd,1,0,0,1,0,GasA,2Story,1,Low,Gtl,2,Inside,IR1,60,RL,BrkFace,None,ClearCr,Y,58,Gable,Normal,187500.0,0,Pave,9,AllPub,0
790,4,0.0,None,2,TwnhsE,No,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,120,RL,BrkFace,None,Blmngtn,Y,75,Gable,Normal,160200.0,0,Pave,5,AllPub,3
791,31,0.0,None,3,1Fam,Av,ALQ,Unf,1.0,Y,Norm,20,0,HdBoard,HdBoard,None,TA,2,PConc,1,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,SLvl,1,Lvl,Gtl,2,Corner,IR1,80,RL,None,None,Mitchel,Y,58,Gable,Normal,146800.0,0,Pave,5,AllPub,31
792,11,1.0,None,3,1Fam,Av,GLQ,Unf,1.0,Y,Norm,24,0,MetalSd,MetalSd,None,TA,1,PConc,2,Typ,2.0,Unf,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,CulDSac,IR1,60,RL,None,None,NoRidge,Y,73,Gable,Normal,269790.0,0,Pave,8,AllPub,10
793,0,0.0,None,3,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,CemntBd,CmentBd,None,,0,PConc,2,Typ,2.0,Fin,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,Stone,None,Somerst,Y,90,Gable,Partial,225000.0,0,Pave,7,AllPub,0
794,14,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,MetalSd,MetalSd,None,TA,1,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR1,60,RL,None,Shed,Gilbert,Y,75,Gable,Normal,194500.0,0,Pave,7,AllPub,12
795,30,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,20,0,HdBoard,HdBoard,MnPrv,TA,1,CBlock,2,Typ,2.0,Unf,Attchd,1,1,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,BrkFace,None,SawyerW,Y,58,Gable,Normal,171000.0,0,Pave,7,AllPub,29
796,30,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,2.0,RFn,Attchd,0,0,0,1,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,Sawyer,Y,56,Gable,Normal,143500.0,0,Pave,7,AllPub,30
797,55,0.0,None,2,1Fam,No,BLQ,Unf,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,,0,CBlock,1,Typ,1.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,45,Gable,Abnorml,110000.0,0,Pave,4,AllPub,55
798,1,1.0,None,4,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,2,PConc,3,Typ,3.0,Fin,BuiltIn,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,Reg,60,RL,Stone,None,NridgHt,Y,113,Hip,Partial,485000.0,0,Pave,11,AllPub,0
799,70,2.0,None,3,1Fam,No,ALQ,Unf,1.0,Y,Feedr,24,264,Wd Sdng,Wd Sdng,MnPrv,TA,2,BrkTil,1,Typ,1.0,Unf,Detchd,0,0,0,1,0,GasA,1.5Fin,1,Lvl,Gtl,1,Corner,Reg,50,RL,BrkFace,None,SWISU,Y,49,Gable,Normal,175000.0,0,Pave,7,AllPub,57
800,11,0.0,None,4,1Fam,Gd,GLQ,Unf,1.0,Y,Feedr,22,185,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,1,1,0,GasA,2Story,1,HLS,Mod,2,Inside,IR1,60,RL,None,Shed,ClearCr,Y,60,Gable,Normal,200000.0,0,Pave,8,AllPub,11
801,91,41.0,None,2,1Fam,No,LwQ,Unf,1.0,Y,Norm,24,0,MetalSd,MetalSd,None,,0,CBlock,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,30,RM,None,None,IDOTRR,Y,36,Gable,Normal,109900.0,0,Pave,5,AllPub,17
802,3,0.0,None,3,1Fam,Av,GLQ,Unf,1.0,Y,Norm,24,0,WdShing,Wd Shng,None,Gd,1,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,None,None,CollgCr,Y,75,Gable,Normal,189000.0,0,Pave,7,AllPub,3
803,1,1.0,None,4,1Fam,Gd,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,3.0,RFn,BuiltIn,1,1,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,Reg,60,RL,Stone,None,NridgHt,Y,113,Hip,Partial,582933.0,0,Pave,12,AllPub,0
804,52,0.0,None,2,1Fam,No,LwQ,Unf,0.0,Y,Norm,20,0,Wd Sdng,Wd Sdng,GdWo,,0,CBlock,1,Min1,1.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,45,Gable,Family,118000.0,0,Pave,5,AllPub,52
805,0,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,FR2,IR1,20,RL,Stone,None,Somerst,Y,77,Gable,Partial,227680.0,0,Pave,6,AllPub,0
806,39,0.0,None,3,1Fam,Av,ALQ,Rec,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,1.0,Fin,Attchd,0,0,0,0,0,GasA,SLvl,1,Lvl,Gtl,1,Inside,Reg,80,RL,None,None,NAmes,Y,45,Gable,Normal,135500.0,0,Pave,6,AllPub,39
807,86,0.0,None,3,1Fam,Gd,GLQ,Unf,2.0,Y,Norm,24,0,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,3,Inside,Reg,70,RL,None,None,BrkSide,Y,47,Gable,Normal,223500.0,0,Pave,6,AllPub,5
808,40,0.0,None,3,1Fam,Av,ALQ,BLQ,1.0,Y,Norm,20,0,VinylSd,VinylSd,GdWo,Gd,1,CBlock,1,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,SLvl,1,Lvl,Gtl,2,Inside,Reg,80,RL,BrkFace,None,NAmes,Y,45,Gable,Normal,159950.0,0,Pave,6,AllPub,40
809,111,12.0,None,2,1Fam,No,Unf,Unf,0.0,N,Norm,16,0,AsbShng,AsbShng,MnPrv,,0,PConc,2,Typ,2.0,Unf,Detchd,1,0,0,0,0,GasA,2.5Unf,3,Lvl,Gtl,1,Corner,Reg,75,RM,None,None,OldTown,N,43,Hip,Normal,106000.0,0,Pave,11,AllPub,44
810,32,0.0,None,3,1Fam,No,ALQ,LwQ,1.0,Y,Norm,18,0,HdBoard,HdBoard,GdPrv,Fa,1,CBlock,1,Typ,2.0,RFn,Attchd,0,0,1,1,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,BrkFace,None,NWAmes,Y,58,Hip,Normal,181000.0,0,Pave,5,AllPub,7
811,4,0.0,None,1,TwnhsE,Gd,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,1,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,120,RM,BrkFace,None,CollgCr,Y,62,Gable,Normal,144500.0,0,Pave,4,AllPub,4
812,58,0.0,None,2,1Fam,Av,Unf,Unf,0.0,N,Norm,20,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,2.0,Unf,Basment,0,0,0,0,0,GasA,1Story,1,Bnk,Mod,1,Inside,Reg,20,C (all),None,Shed,IDOTRR,N,41,Hip,Alloca,55993.0,0,Grvl,4,AllPub,58
813,49,0.0,None,4,1Fam,No,Rec,Unf,0.0,Y,Norm,22,275,MetalSd,MetalSd,None,,0,CBlock,1,Typ,1.0,RFn,Attchd,0,0,0,1,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,Shed,NAmes,Y,56,Gable,Normal,157900.0,0,Pave,7,AllPub,49
814,88,37.0,Grvl,3,1Fam,No,Unf,Unf,0.0,Y,Norm,22,96,Stucco,Stucco,None,,0,BrkTil,1,Typ,1.0,Unf,Detchd,0,0,1,1,0,GasW,1.5Fin,1,Lvl,Gtl,1,Inside,Reg,50,RL,None,None,Edwards,P,43,Gable,Normal,116000.0,0,Pave,7,AllPub,56
